GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
36,7.6,34.7,0.5,25.0,1.6,69.9,0.7,1.9,0.4,0.4,1.3,0
35,6.7,29.6,0.7,23.5,2.6,76.5,0.5,3.7,1.1,0.5,1.6,0
74,4.7,42.2,0.4,24.4,0.9,67.0,0.5,1.0,0.5,0.3,1.0,0
58,5.5,42.6,0.1,22.6,0.9,68.9,1.0,0.8,0.6,0.1,1.0,1
48,3.0,52.4,0.0,0.0,1.3,67.4,1.0,0.3,0.3,0.4,0.8,1
75,3.5,42.3,0.3,32.5,0.4,73.2,0.2,1.8,0.4,0.0,0.7,0
62,5.8,43.5,0.0,50.0,1.5,81.1,0.5,0.6,0.2,0.1,0.7,1
48,5.4,41.5,0.4,30.0,0.7,87.5,0.8,0.2,0.2,0.1,0.7,1
65,2.4,39.2,0.1,23.3,0.4,71.4,0.2,2.3,0.3,0.0,1.1,0
42,3.5,38.3,0.1,21.4,1.0,67.8,0.4,0.3,0.2,0.0,0.7,0
35,2.4,36.5,0.0,33.3,0.5,81.8,0.5,0.7,0.1,0.1,0.3,0
40,3.0,39.8,0.1,13.6,1.1,77.6,0.5,0.4,0.3,0.1,0.6,1
27,1.3,47.2,0.0,0.0,0.1,28.6,0.6,0.2,0.2,0.6,0.3,1
45,6.0,32.3,1.1,30.1,0.7,86.1,0.5,0.5,0.5,0.3,0.5,0
44,1.9,53.7,0.0,0.0,0.4,50.0,0.4,0.2,0.2,0.4,0.6,1
40,1.8,51.4,0.1,14.3,0.7,68.4,0.1,1.4,0.3,0.0,0.8,1
49,1.9,37.6,0.0,0.0,0.7,64.2,0.5,0.2,0.3,0.2,0.5,0
41,1.6,34.8,0.1,21.4,0.5,73.1,0.1,1.0,0.3,0.0,0.4,0
82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,0
82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,1
80,11.1,52.5,0.0,11.1,2.6,65.4,3.0,2.4,1.1,0.8,2.2,1
82,11.0,48.9,0.0,16.7,2.6,66.6,2.3,2.5,1.5,0.3,2.2,1
76,11.7,37.5,0.1,13.3,1.8,73.0,1.1,2.2,2.0,0.2,2.0,1
61,10.7,45.4,0.7,32.0,1.6,74.8,1.3,4.6,1.0,0.3,2.5,0
32,5.2,53.3,0.0,0.0,0.8,62.5,1.7,0.4,0.5,0.5,1.0,0
76,7.8,51.4,0.0,0.0,2.5,80.7,2.4,1.6,0.7,0.6,1.5,1
52,6.8,45.1,1.1,43.4,2.1,83.6,0.5,3.7,0.6,0.0,1.8,0
76,9.2,41.5,0.0,0.0,1.2,73.6,1.7,1.7,0.8,0.5,1.3,1
78,8.7,44.7,0.7,39.0,1.6,74.1,0.9,2.2,1.2,0.3,1.2,0
51,6.4,49.7,0.0,0.0,2.0,66.7,2.3,0.8,0.5,0.5,1.5,1
64,4.4,55.2,0.0,0.0,1.4,57.2,2.5,0.5,0.4,1.2,0.8,1
55,8.1,52.9,0.0,0.0,1.8,51.5,2.1,0.7,0.4,1.5,1.4,1
82,7.3,41.9,0.0,4.3,1.2,80.6,0.6,3.9,1.0,0.3,1.7,1
48,6.8,52.8,0.0,0.0,2.0,66.9,2.4,0.7,0.8,1.1,1.8,1
34,5.0,30.2,0.4,18.5,0.9,91.2,0.1,3.1,0.6,0.2,1.0,0
42,7.7,40.0,0.7,35.7,1.5,83.3,0.7,1.1,0.8,0.1,1.1,1
82,5.3,37.0,0.1,14.5,1.4,74.1,0.4,3.8,0.7,0.1,1.2,1
64,7.5,39.0,0.0,23.1,1.1,74.5,0.6,3.2,1.1,0.1,1.5,1
80,5.7,52.9,0.0,0.0,1.3,69.1,1.3,0.4,0.6,0.8,1.1,1
77,4.9,46.7,0.0,21.4,1.1,81.0,1.4,0.4,0.3,0.6,0.9,1
55,4.1,41.7,0.1,37.5,0.6,76.1,0.5,1.5,0.7,0.2,0.8,0
48,5.1,40.7,0.0,9.5,0.9,80.4,0.6,2.1,0.9,0.0,1.3,0
51,3.8,39.9,0.2,27.0,1.8,87.5,0.4,2.8,0.9,0.0,1.4,0
51,4.1,40.2,0.2,36.7,0.4,76.9,0.6,0.8,0.3,0.2,0.7,0
72,3.8,42.3,0.0,0.0,1.4,80.3,0.4,1.9,0.6,0.1,1.3,1
69,3.6,45.2,0.0,100.0,0.3,82.1,1.1,0.6,0.5,0.3,0.6,1
54,3.8,56.8,0.0,0.0,1.3,66.1,1.4,0.3,0.6,0.7,0.8,1
24,4.1,30.3,0.6,36.6,1.0,66.7,0.1,1.5,0.7,0.1,1.3,0
50,3.7,41.5,0.1,19.2,0.9,75.4,0.4,1.8,0.6,0.1,1.0,1
56,3.0,45.6,0.0,0.0,0.7,65.5,0.5,1.1,0.6,0.2,0.8,1
67,3.6,38.8,0.4,29.2,0.5,75.6,0.1,1.4,0.4,0.1,1.0,0
50,2.6,38.0,0.0,14.3,0.5,65.9,0.3,1.6,0.7,0.1,1.0,1
45,2.2,47.5,0.0,0.0,0.5,75.0,0.7,0.3,0.2,0.2,0.6,1
38,3.8,36.8,0.2,22.2,0.5,82.6,0.3,0.7,0.3,0.1,0.6,0
42,2.3,43.9,0.0,0.0,0.7,52.5,0.9,0.3,0.1,0.1,0.8,0
54,2.8,45.6,0.1,18.8,0.6,74.4,0.7,0.6,0.2,0.1,0.5,0
35,4.5,39.2,0.1,20.0,0.4,53.6,0.6,0.6,0.4,0.2,0.8,0
37,2.6,44.3,0.1,18.2,0.5,81.0,0.4,0.3,0.2,0.1,0.5,0
46,2.5,43.1,0.2,27.0,0.2,52.6,0.4,0.5,0.2,0.0,0.3,0
51,2.2,38.4,0.3,43.3,0.3,83.3,0.3,0.3,0.1,0.0,0.3,0
40,1.8,38.0,0.0,0.0,0.9,75.6,0.5,0.3,0.1,0.1,0.5,0
19,1.9,37.8,0.0,0.0,0.2,37.5,0.6,0.4,0.3,0.2,0.3,0
36,1.4,35.3,0.1,11.8,0.3,66.7,0.2,0.6,0.1,0.0,0.5,0
79,16.5,42.2,0.0,27.3,4.1,73.6,2.4,4.0,1.4,1.1,2.9,1
55,3.9,30.4,0.4,20.4,0.6,74.5,0.4,0.5,0.7,0.1,0.7,0
74,14.9,46.7,0.2,34.2,4.4,73.1,3.6,2.2,1.0,1.3,2.9,1
64,11.3,40.6,1.1,36.5,4.0,77.0,0.8,4.0,1.3,0.2,2.5,0
82,14.4,42.5,1.5,37.4,1.9,75.0,0.8,1.6,0.8,0.3,1.6,1
82,7.0,45.0,0.0,7.7,0.8,71.1,1.3,6.4,2.0,0.2,2.2,1
81,4.7,51.2,0.0,0.0,2.2,72.2,3.4,0.3,0.6,1.5,0.9,1
76,10.2,44.1,0.1,13.3,3.0,78.2,1.5,1.4,0.9,0.3,1.9,1
82,7.5,46.4,0.1,20.6,1.7,87.3,0.5,4.2,1.0,0.2,1.7,0
82,7.5,46.4,0.1,20.6,1.7,87.3,0.5,4.2,1.0,0.2,1.7,1
49,2.0,32.7,0.1,21.4,0.5,64.9,0.2,1.7,0.5,0.1,0.6,0
49,2.0,32.7,0.1,21.4,0.5,64.9,0.2,1.7,0.5,0.1,0.6,1
82,10.2,45.0,0.0,14.3,1.9,83.5,1.3,3.7,1.3,0.5,2.0,1
76,5.4,50.8,0.0,0.0,1.4,63.6,1.9,0.9,0.6,1.9,1.3,1
67,15.1,41.3,0.4,24.0,1.3,85.7,0.5,3.1,0.8,0.1,1.6,1
70,8.2,43.9,0.0,9.7,1.6,70.7,0.9,2.5,0.4,0.2,1.6,0
81,7.9,42.8,0.3,29.9,1.5,81.6,1.2,1.8,0.5,0.3,1.5,1
33,4.8,49.7,0.1,40.0,2.3,84.3,1.4,1.4,0.6,0.3,0.9,1
58,4.9,41.7,0.0,0.0,1.2,55.0,2.3,0.4,0.6,1.2,0.9,0
70,7.2,41.9,0.1,25.0,1.1,79.6,0.5,1.3,0.3,0.1,1.0,0
82,4.8,41.2,0.1,17.6,0.9,74.7,0.7,2.8,0.8,0.1,1.2,1
62,6.7,38.0,0.3,29.2,1.5,77.3,0.7,1.2,0.5,0.1,1.2,0
78,6.0,42.5,0.0,0.0,1.1,67.2,1.5,0.4,0.2,0.3,1.4,0
73,4.9,48.7,0.0,0.0,0.7,66.2,1.7,0.5,0.3,0.3,0.7,1
74,4.0,49.2,0.0,0.0,1.3,63.2,2.1,0.3,0.5,0.4,1.0,1
76,6.8,42.1,0.2,29.8,0.8,63.0,1.5,0.8,0.6,0.3,0.9,0
55,5.2,46.5,0.0,0.0,0.9,71.2,1.5,0.6,0.6,0.5,0.8,1
47,5.1,44.6,0.0,18.2,1.0,58.8,0.4,2.8,0.7,0.2,1.6,0
37,6.9,44.1,0.6,40.0,1.4,72.2,0.7,0.9,0.4,0.1,1.0,1
62,3.7,46.5,0.0,0.0,0.9,64.4,0.8,0.6,0.2,0.2,1.0,0
62,3.7,38.4,0.1,16.1,1.0,80.5,0.3,1.3,0.5,0.1,0.9,0
51,6.7,43.8,0.0,11.8,1.0,68.4,1.1,0.8,0.6,0.2,0.8,0
36,4.2,41.3,0.0,0.0,0.4,55.6,0.8,1.0,0.4,0.0,0.8,1
74,3.1,41.6,0.0,25.0,0.6,65.2,0.8,0.7,0.5,0.2,0.3,1
63,6.7,48.7,0.0,16.7,1.7,66.3,1.2,0.6,0.3,0.1,1.1,1
33,2.7,34.8,0.1,27.3,0.3,64.3,0.2,0.8,0.5,0.2,0.3,0
54,3.9,46.0,0.0,0.0,0.8,68.9,1.0,0.7,0.2,0.4,0.8,1
73,3.7,40.8,0.1,27.8,0.7,73.2,0.2,1.2,0.5,0.1,0.7,0
15,3.1,40.4,0.0,0.0,1.1,66.7,0.8,0.2,0.3,0.3,0.7,0
64,3.4,44.1,0.0,0.0,0.6,70.2,0.4,2.1,0.4,0.2,1.1,1
56,3.4,41.5,0.0,0.0,0.6,80.0,0.3,1.9,0.5,0.1,0.8,0
64,3.0,39.1,0.0,0.0,0.9,69.6,0.4,1.0,0.3,0.1,0.8,0
68,2.8,41.8,0.3,33.3,0.6,90.5,0.2,1.9,0.5,0.0,0.6,1
47,2.6,40.3,0.3,37.5,0.5,75.8,0.7,0.7,0.3,0.0,0.5,0
52,3.1,44.7,0.0,50.0,0.7,66.1,0.8,0.3,0.2,0.1,0.8,1
64,3.8,40.0,0.1,40.0,0.5,77.8,0.5,0.4,0.3,0.2,0.5,0
34,3.5,36.7,0.0,0.0,0.4,44.4,0.8,0.5,0.1,0.1,0.7,0
42,3.7,43.9,0.0,0.0,0.5,55.0,0.7,0.4,0.1,0.7,0.8,1
50,4.2,45.8,0.1,15.8,0.6,84.8,0.4,0.7,0.2,0.0,1.0,1
52,2.4,45.5,0.0,0.0,0.6,65.3,0.8,0.2,0.2,0.7,0.3,1
75,2.4,52.0,0.0,0.0,0.5,68.0,0.7,0.4,0.1,0.4,0.6,0
39,2.1,42.0,0.2,24.0,0.3,48.0,0.8,0.5,0.4,0.3,0.3,1
51,2.0,51.0,0.0,50.0,0.4,71.4,0.8,0.3,0.2,0.3,0.5,1
52,1.4,37.3,0.0,0.0,0.2,54.5,0.8,0.1,0.1,0.1,0.1,0
39,1.0,51.3,0.0,0.0,0.5,90.5,0.5,0.2,0.1,0.1,0.1,1
82,15.9,53.1,0.0,0.0,7.5,73.2,3.7,2.0,1.7,3.9,3.1,1
31,3.3,35.3,0.5,25.8,0.5,55.2,0.3,0.4,0.3,0.1,0.2,0
79,12.5,47.1,0.3,27.4,2.7,76.4,0.7,8.7,2.1,0.1,3.3,0
79,12.5,47.1,0.3,27.4,2.7,76.4,0.7,8.7,2.1,0.1,3.3,1
82,9.9,44.0,0.0,0.0,2.3,66.4,2.4,1.2,1.1,0.7,2.1,1
82,11.3,46.1,0.3,27.7,0.8,58.9,0.7,6.8,1.6,0.3,1.7,1
81,11.6,49.4,0.1,16.1,2.8,68.7,0.9,7.6,1.8,0.1,3.0,1
80,10.4,44.6,0.0,0.0,3.4,76.8,2.3,1.1,0.8,0.7,1.2,1
77,13.9,43.9,0.2,24.6,1.2,73.4,1.3,1.8,0.9,0.3,1.5,1
77,13.9,43.9,0.2,24.6,1.2,73.4,1.3,1.8,0.9,0.3,1.5,0
50,11.4,37.1,0.4,22.5,1.3,77.8,0.8,4.2,1.6,0.3,2.2,1
81,8.0,48.1,0.0,11.1,2.3,86.6,1.6,1.9,0.6,0.2,1.4,1
82,6.9,50.7,0.1,30.0,1.8,71.9,0.8,1.8,0.9,0.4,1.9,1
50,3.3,44.9,0.0,13.3,0.6,57.4,0.9,0.3,0.2,0.4,0.4,0
81,9.3,49.4,0.0,5.9,2.3,70.5,1.3,1.5,0.8,0.4,1.7,1
82,6.5,50.4,0.0,0.0,2.4,72.7,2.1,1.1,0.5,0.7,1.4,1
81,9.1,40.5,1.2,39.9,1.1,80.9,0.4,2.5,0.7,0.0,1.5,1
69,6.0,41.1,0.0,13.3,1.3,70.5,1.1,0.6,0.6,0.2,0.7,0
82,9.2,39.7,0.1,27.3,1.7,55.0,1.3,0.9,0.7,0.7,1.6,1
55,5.2,47.9,0.0,0.0,1.2,66.7,1.5,1.0,0.4,0.2,1.1,0
75,6.0,47.0,0.0,0.0,1.7,76.2,1.1,0.7,0.4,0.3,0.9,1
72,6.5,49.7,0.0,0.0,2.3,72.2,2.6,0.6,0.3,0.2,0.7,0
79,6.5,48.6,0.0,0.0,1.6,74.7,0.6,1.5,0.7,0.2,1.2,1
25,3.0,39.5,0.2,38.5,0.7,69.2,1.1,0.2,0.2,0.4,0.4,0
81,4.8,48.5,0.0,50.0,0.9,88.5,0.2,2.5,0.6,0.1,1.0,1
63,4.2,46.6,0.0,0.0,0.9,62.1,1.5,0.4,0.4,0.4,1.1,1
81,5.2,47.9,0.0,16.7,1.4,73.6,1.8,0.3,0.6,0.9,1.3,1
61,4.8,43.7,0.0,0.0,1.0,64.3,1.0,0.8,0.2,0.2,0.8,1
43,5.0,40.6,0.1,14.3,0.4,68.0,0.2,1.9,0.3,0.1,0.8,0
55,4.6,36.9,0.0,7.1,0.9,56.2,1.4,0.4,0.4,0.1,0.8,1
59,2.9,54.7,0.0,25.0,0.9,67.1,0.7,0.6,0.6,0.2,0.5,0
66,3.9,45.9,0.0,0.0,2.3,77.7,1.0,0.7,0.5,0.1,1.2,1
70,15.1,40.5,0.8,26.4,3.7,70.3,1.4,6.3,1.9,0.6,3.5,0
77,3.4,42.9,0.2,28.6,0.5,66.0,0.2,2.3,0.3,0.0,1.1,0
37,4.4,29.8,0.2,23.3,1.2,69.4,0.2,1.8,0.5,0.1,1.4,0
67,3.2,38.4,0.0,18.8,0.6,66.1,0.2,2.5,0.5,0.0,1.1,1
42,2.0,43.0,0.0,0.0,0.2,50.0,1.0,0.5,0.2,0.3,0.4,0
50,4.1,47.3,0.1,35.7,1.2,67.0,0.6,0.9,0.6,0.0,0.8,0
65,4.4,47.6,0.0,7.1,0.8,82.8,0.6,1.2,0.1,0.0,0.8,0
65,4.4,47.6,0.0,7.1,0.8,82.8,0.6,1.2,0.1,0.0,0.8,1
82,5.0,54.2,0.0,0.0,1.5,48.5,2.1,0.8,0.7,0.6,1.3,0
82,5.0,54.2,0.0,0.0,1.5,48.5,2.1,0.8,0.7,0.6,1.3,1
44,3.3,31.3,0.3,32.5,0.3,78.9,0.3,1.0,0.4,0.1,0.8,1
36,3.4,47.5,0.0,0.0,1.1,61.5,0.6,0.6,0.5,0.2,0.7,0
60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,1
60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,1
60,2.2,44.4,0.0,0.0,0.9,69.7,0.2,1.7,0.6,0.1,0.6,0
71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,1
71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,1
71,12.4,49.5,0.0,0.0,4.0,72.5,2.4,1.5,1.0,1.3,2.1,0
34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,1
34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,1
34,3.7,39.2,0.4,31.9,0.2,54.5,0.4,0.6,0.3,0.2,0.8,0
45,3.6,49.4,0.0,0.0,0.9,60.9,1.3,0.4,0.2,0.1,0.9,0
70,12.8,38.0,1.6,33.0,1.5,90.3,0.5,5.7,0.6,0.1,1.9,0
57,2.0,36.8,0.1,25.0,0.4,61.5,0.4,0.4,0.3,0.1,0.4,0
52,2.6,39.3,0.1,27.3,0.5,81.3,0.5,0.3,0.2,0.1,0.6,1
51,1.5,55.3,0.0,0.0,0.3,46.4,0.7,0.1,0.2,0.3,0.6,1
35,3.1,43.5,0.1,40.0,0.5,88.9,0.3,0.3,0.2,0.2,0.6,0
48,1.8,23.8,0.0,16.7,0.3,76.5,0.2,1.3,0.3,0.0,0.5,0
21,0.9,33.3,0.0,0.0,0.1,50.0,0.2,0.1,0.1,0.3,0.1,0
36,1.9,33.8,0.1,28.6,0.7,80.0,0.2,0.3,0.1,0.0,0.6,0
21,2.3,37.5,0.0,25.0,0.4,69.2,0.6,0.0,0.1,0.4,0.3,0
79,17.5,46.8,0.4,36.7,5.2,81.0,2.0,4.2,1.0,0.2,3.4,1
81,15.9,49.8,0.0,19.0,2.8,77.5,1.9,4.6,1.9,0.8,3.2,1
80,11.7,41.9,0.9,32.7,3.1,78.0,0.5,4.1,1.6,0.5,3.2,0
79,12.3,45.5,0.9,42.8,3.1,83.1,0.6,3.0,1.5,0.5,2.0,1
79,14.0,42.5,0.1,27.0,1.8,74.6,1.1,4.4,1.8,0.3,3.1,1
82,8.4,48.6,0.0,0.0,3.7,74.9,2.9,1.8,1.5,0.6,2.5,1
75,16.9,41.4,0.8,31.4,2.1,79.5,1.0,2.3,0.9,0.3,1.5,1
82,8.4,43.3,0.0,0.0,1.3,82.6,1.5,5.8,0.9,0.3,2.3,1
76,11.9,45.7,0.8,36.6,2.4,71.7,2.5,1.6,1.3,0.8,2.5,1
71,11.7,43.5,0.1,22.7,1.7,73.5,1.1,7.1,2.0,0.1,3.6,1
79,10.5,43.2,0.4,24.8,2.3,74.5,0.6,3.8,1.1,0.1,2.3,1
82,8.3,37.6,1.2,32.0,1.4,80.4,0.6,1.0,0.6,0.2,1.2,0
54,8.0,41.9,0.5,32.9,1.4,61.4,1.1,2.4,1.2,0.3,0.9,1
55,7.2,42.0,0.0,25.0,1.9,67.3,2.1,2.1,0.7,0.5,1.9,0
64,8.9,45.0,1.0,40.6,2.0,78.9,0.9,1.3,0.6,0.3,1.3,0
71,5.1,49.0,0.0,0.0,1.4,80.3,0.5,3.4,1.1,0.1,1.6,0
36,4.9,41.7,0.0,14.3,1.6,69.5,1.2,4.3,1.2,0.1,2.3,0
65,5.8,50.1,0.0,0.0,1.5,57.1,1.8,1.0,1.0,0.3,1.2,0
80,6.3,47.5,0.1,30.0,1.1,85.0,0.6,2.6,0.8,0.2,1.0,1
32,6.6,46.7,0.1,20.0,0.6,69.2,0.3,3.7,0.8,0.1,1.7,0
81,7.8,43.7,0.1,20.8,2.4,78.3,1.4,1.0,0.6,0.1,1.7,0
80,9.2,43.4,0.1,22.5,3.4,78.6,1.3,1.5,0.5,0.1,1.6,1
71,5.5,46.4,0.0,0.0,0.5,59.6,1.1,1.1,0.5,0.4,0.4,1
81,7.0,46.7,0.2,32.2,2.1,74.5,0.6,3.9,1.2,0.0,1.8,1
82,4.5,42.0,0.7,35.9,0.7,88.4,0.2,3.7,0.8,0.0,0.8,1
24,4.0,44.3,0.0,0.0,1.5,57.8,0.8,0.9,0.7,0.1,1.4,0
65,3.8,48.8,0.0,0.0,1.8,68.9,1.5,0.3,0.2,0.2,0.7,0
56,4.4,48.6,0.0,0.0,0.7,58.0,1.2,0.6,0.4,0.1,0.7,1
36,1.6,43.1,0.0,0.0,0.3,69.2,0.7,0.2,0.1,0.1,0.3,1
51,4.1,44.5,0.0,0.0,1.1,72.5,0.6,0.8,0.4,0.3,0.9,0
75,2.9,54.5,0.0,0.0,1.1,69.9,0.6,0.2,0.1,0.3,0.9,1
54,4.7,42.6,0.0,0.0,0.8,38.4,1.6,1.1,0.4,0.1,0.9,1
62,3.2,53.7,0.0,25.0,0.6,61.5,1.0,0.3,0.3,0.5,0.6,1
82,1.6,30.1,0.0,7.1,0.7,78.1,0.3,2.6,0.3,0.1,1.1,1
53,2.3,36.6,0.2,29.4,0.3,60.9,0.1,2.2,0.5,0.1,1.0,0
47,2.6,40.2,0.0,16.7,0.7,83.3,0.3,2.3,0.5,0.2,1.3,0
36,3.5,40.8,0.3,38.5,0.9,65.4,0.4,0.8,0.6,0.1,1.1,1
62,1.9,51.3,0.0,0.0,0.6,65.0,0.9,0.1,0.3,0.8,0.5,1
37,2.8,49.0,0.0,0.0,0.8,67.4,0.5,0.5,0.5,0.2,0.5,0
60,2.8,49.4,0.0,0.0,0.4,50.0,0.8,0.4,0.3,0.3,0.5,1
51,2.2,40.4,0.1,25.0,0.3,81.3,0.3,1.5,0.5,0.1,0.7,1
42,4.1,43.0,0.0,10.0,0.5,69.0,0.5,0.5,0.3,0.1,0.5,1
33,3.1,48.0,0.0,10.0,0.8,82.4,0.5,0.4,0.4,0.1,0.4,1
33,3.1,48.0,0.0,10.0,0.8,82.4,0.5,0.4,0.4,0.1,0.4,0
57,2.6,36.9,0.1,30.8,1.3,63.8,1.0,0.8,0.7,0.4,1.2,1
57,2.6,36.9,0.1,30.8,1.3,63.8,1.0,0.8,0.7,0.4,1.2,0
24,5.1,41.8,0.4,24.4,0.6,60.0,0.3,0.8,1.0,0.4,1.1,0
77,4.8,46.0,0.9,40.1,0.7,71.2,0.9,0.9,0.7,0.2,0.8,0
72,2.0,41.5,0.0,0.0,0.8,73.8,0.7,0.6,0.3,0.0,0.5,0
49,2.6,36.4,0.0,22.2,0.6,66.0,0.2,1.4,0.3,0.1,0.9,1
46,2.7,50.4,0.0,40.0,0.5,70.6,0.6,0.4,0.3,0.1,0.7,0
43,1.9,34.9,0.0,11.1,0.2,56.3,0.3,1.7,0.5,0.1,0.4,1
35,2.1,31.9,0.1,20.0,0.5,77.3,0.3,1.1,0.3,0.1,0.8,0
51,1.5,47.4,0.0,0.0,0.7,78.3,0.4,0.2,0.2,0.0,0.5,1
41,2.0,42.2,0.0,0.0,0.7,68.2,0.5,0.2,0.2,0.1,0.3,1
82,12.4,43.2,0.4,25.4,2.5,77.4,1.5,10.6,2.5,0.1,3.1,1
61,11.4,47.7,0.2,30.8,2.7,81.9,0.7,7.1,1.5,0.1,3.0,1
58,6.7,43.7,0.3,29.0,1.0,65.6,0.6,3.2,0.6,0.3,1.0,0
55,13.1,47.5,0.0,0.0,2.4,67.9,2.4,1.3,1.1,0.5,2.2,1
67,11.6,43.9,0.2,33.3,2.1,87.9,1.0,6.4,1.7,0.1,2.5,1
42,8.0,40.7,0.1,20.0,1.1,83.3,1.2,2.3,0.9,0.4,1.8,1
35,12.2,35.6,0.4,22.4,1.4,72.7,1.6,1.7,0.8,0.6,1.8,1
35,12.2,35.6,0.4,22.4,1.4,72.7,1.6,1.7,0.8,0.6,1.8,1
82,9.2,50.1,0.0,20.0,2.4,60.4,2.0,1.0,0.7,1.5,1.7,1
80,7.5,46.1,0.1,20.8,2.2,83.9,0.5,5.5,1.3,0.3,1.8,1
81,6.3,50.1,0.0,0.0,1.4,62.6,1.9,1.1,0.6,0.7,1.1,1
82,7.6,48.8,0.7,35.5,1.8,80.1,1.2,1.6,0.7,0.2,1.2,1
61,9.0,40.4,0.2,26.7,2.1,74.0,1.0,1.9,0.9,0.4,1.9,1
66,7.6,48.2,0.0,0.0,1.3,51.2,1.5,1.2,0.7,0.5,1.6,1
59,6.3,42.3,0.8,33.8,1.9,81.5,0.7,1.6,0.5,0.8,0.8,0
79,7.1,46.3,0.1,17.4,1.3,57.6,1.5,2.1,1.1,0.7,1.7,1
82,6.3,49.1,0.1,36.7,2.1,77.2,1.4,1.3,0.8,0.8,1.3,1
79,5.4,39.0,0.0,18.8,0.7,78.4,0.4,5.1,1.6,0.0,1.3,1
78,7.2,42.8,0.0,0.0,1.9,72.5,1.2,1.4,0.7,0.3,1.4,1
24,4.6,39.1,0.4,38.5,1.2,72.5,0.1,2.9,1.0,0.1,1.0,0
39,4.7,45.9,0.0,0.0,1.4,87.1,1.5,0.8,0.3,0.1,0.9,1
75,4.8,43.0,0.0,0.0,1.4,70.7,0.7,0.9,0.5,0.9,1.6,0
79,2.6,53.2,0.0,0.0,0.9,64.0,1.3,0.5,0.4,0.3,0.7,1
58,2.9,37.4,0.1,24.0,0.4,71.9,0.3,3.1,0.3,0.1,1.0,0
49,5.1,44.6,0.0,0.0,0.8,72.2,0.2,1.2,0.4,0.0,1.0,0
70,3.5,49.6,0.0,23.1,0.7,80.6,0.7,0.7,0.3,0.6,0.8,1
40,3.7,42.2,0.1,20.0,0.7,89.7,0.1,1.5,0.1,0.1,0.6,0
55,2.5,47.4,0.0,0.0,0.7,56.3,1.3,0.4,0.2,0.3,0.6,1
59,2.2,47.0,0.0,0.0,0.4,73.5,0.3,1.7,0.6,0.0,0.9,0
44,2.5,40.4,0.0,0.0,0.4,81.0,0.1,2.0,0.4,0.0,0.9,0
49,3.9,46.6,0.0,0.0,0.8,70.2,0.6,0.5,0.3,0.3,0.6,1
